CollectionIdentifier	Title	Subject
IWA0159	Ruth Bluford Anderson papers	Cedar Falls (Iowa)
IWA0159	Ruth Bluford Anderson papers	Black Hawk County (Iowa)
IWA0160	Lonabelle Kaplan Spencer papers	Iowa
IWA0161	Leona Call papers	Iowa
IWA0162	Ruth Ashton Johnson papers	Davenport (Iowa)
IWA0163	Emma Harvat papers	Iowa City (Iowa)
IWA0164	Norma Peg Burke papers	Iowa City (Iowa)
IWA0165	Millicent Mary Cuplin papers	Iowa Falls (Iowa)
IWA0166	Elaine Szymoniak papers	Des Moines (Iowa)
IWA0167	YWCA of Greater Des Moines records	Des Moines (Iowa)
IWA0168	Priscilla Ann Mabie Stewart papers	Iowa City (Iowa)
IWA0168	Priscilla Ann Mabie Stewart papers	Bradenton (Fla.)
IWA0169	Ethel Roberta Douglass papers	Iowa City (Iowa)
IWA0169	Ethel Roberta Douglass papers	Baraboo (Wis.)
IWA0170	Alice Sophia Brant papers	Rochester (Minn.)
IWA0170	Alice Sophia Brant papers	Oelwein (Iowa)
IWA0171	Edna Means papers	Des Moines (Iowa)
IWA0171	Edna Means papers	Tama (Iowa)
IWA0172	Catharine King Herr diary	Cedar City (Iowa)
IWA0174	Iowa Women's Hall of Fame records	Iowa
IWA0175	Iowa Commission on the Status of Women records	Iowa
IWA0176	Alberta Metcalf Kelly papers	Nichols (Iowa)
IWA0177	Margaret Thomsen Raymond papers	Burlington (Iowa)
IWA0178	"Friendly Neighbors Club (Percival, Iowa) records"	Percival (Iowa)
IWA0179	"Best Ever Club (Percival, Iowa) records"	Percival (Iowa)
IWA0180	Wilda Jean Schobert papers	California
IWA0180	Wilda Jean Schobert papers	Iowa
IWA0180	Wilda Jean Schobert papers	Percival (Iowa)
IWA0180	Wilda Jean Schobert papers	Omaha (Neb.)
IWA0180	Wilda Jean Schobert papers	Ohio
IWA0180	Wilda Jean Schobert papers	Nebraska City (Neb.)
IWA0181	Elvira Gaston Platt papers	Civil Bend (Iowa)
IWA0181	Elvira Gaston Platt papers	Fremont County (Iowa)
IWA0181	Elvira Gaston Platt papers	Tabor (Iowa)
IWA0181	Elvira Gaston Platt papers	Genoa (Neb.)
IWA0181	Elvira Gaston Platt papers	Carlisle (Pa.)
IWA0181	Elvira Gaston Platt papers	Oberlin (Ohio)
IWA0182	Leanna Driftmier papers	Shenandoah (Iowa)
IWA0183	Dorothy Schramm papers	Iowa
IWA0183	Dorothy Schramm papers	Burlington (Iowa)
IWA0184	Lois Laughlin papers	West Branch (Iowa)
IWA0184	Lois Laughlin papers	Tipton (Iowa)
IWA0185	Ruth Laughlin papers	West Branch (Iowa)
IWA0185	Ruth Laughlin papers	Philadelphia (Pa.)
IWA0186	Mary Grefe papers	Des Moines (Iowa)
IWA0186	Mary Grefe papers	Algona (Iowa)
IWA0186	Mary Grefe papers	Iowa
IWA0187	Jeanne Bridenstine papers	Newton (Iowa)
IWA0187	Jeanne Bridenstine papers	Jasper County (Iowa)
IWA0188	"Nancy V. ""Rusty"" Barceló papers"	Iowa City (Iowa)
IWA0188	"Nancy V. ""Rusty"" Barceló papers"	Mexico
IWA0189	Nellie M. Gebers papers	California
IWA0189	Nellie M. Gebers papers	Iowa
IWA0190	Mary Ungerer Hauth papers	Sioux City (Iowa)
IWA0191	Jo Rabenold papers	Iowa City (Iowa)
IWA0192	Ruth Hamilton papers	Alta (Iowa)
IWA0192	Ruth Hamilton papers	New Hampshire
IWA0193	Helen Bamford papers	Muscatine (Iowa)
IWA0194	Bernice Larson Boyum papers	Des Moines (Iowa)
IWA0195	The Des Moines BirthPlace records	Des Moines (Iowa)
IWA0196	Maude Esther White papers	Des Moines (Iowa)
